Specialty,CPT Code,PPL?,decision by ROI,decision source,clinical reason,final decision,new rate
ACUPUNCTURE,20550,1,1,rule,Hard Pend Specialty,0,
AMBULATORY SURGICAL CENTER,20550,0,1,rule,Pend EPL,0,
FACILITY SERVICES,20550,0,1,rule,Pend EPL,0,0
FAMILY PRACTICE,20550,1,1,rule,low volume,0,
INTERNAL MEDICINE,20550,1,1,rule,low volume,0,0
INTERVENTIONAL RADIOLOGY,20550,1,1,rule,low volume,0,0
NEUROLOGY,20550,1,1,rule,low volume,0,0
NON-CONTRACT UNKWN BILL AREA,20550,0,1,rule,Pend EPL,0,
PAIN MANAGEMENT,20550,0,1,rule,Pend EPL,0,0
PAIN MANAGEMENT,20550,1,1,DBA,,1,1
PODIATRY,20550,0,1,rule,Pend EPL,0,0
PODIATRY,20550,1,1,clinical,PA and RL review of pend specs,1,0.64
RADIOLOGY_b,20550,1,1,rule,low volume,0,
RADIOLOGY_s,20550,0,1,rule,Pend EPL,0,0
RADIOLOGY_s,20550,1,1,rule,low volume,0,0
RHEUMATOLOGY,20550,0,1,rule,Pend EPL,0,0
RHEUMATOLOGY,20550,1,1,DBA,,1,0.08
SPORTS MEDICINE,20550,1,1,rule,Hard Pend Specialty,0,
SURGERY - HAND,20550,0,1,rule,Pend EPL,0,0
SURGERY - HAND,20550,1,1,rule,Hard Pend Specialty,0,0
SURGERY - ORTHO,20550,0,1,rule,Pend EPL,0,0
SURGERY - ORTHO,20550,1,1,DBA,,1,0.87
SURGERY - PLASTIC/RECONSTRUCT,20550,0,1,rule,Pend EPL,0,
ACUPUNCTURE,20552,1,1,rule,Hard Pend Specialty,0,
ADDICTION MEDICINE,20552,1,1,rule,Hard Pend Specialty,0,
AMBULATORY SURGICAL CENTER,20552,0,1,rule,Pend EPL,0,0
AMBULATORY SURGICAL CENTER,20552,1,1,rule,Hard Pend Specialty,0,0
ANESTHESIOLOGY,20552,0,1,rule,Pend EPL,0,
FACILITY SERVICES,20552,0,1,rule,Pend EPL,0,
FACILITY SERVICES,20552,1,1,rule,Hard Pend Specialty,0,
FAMILY PRACTICE,20552,1,1,rule,low volume,0,
INTERNAL MEDICINE,20552,0,1,rule,Pend EPL,0,
INTERVENTIONAL RADIOLOGY,20552,0,1,rule,Pend EPL,0,
NEUROLOGY,20552,1,1,rule,low volume,0,
NURSE PRACTITIONER,20552,1,1,rule,Hard Pend Specialty,0,
OBSTETRICS/GYNECOLOGY,20552,0,1,rule,Pend EPL,0,
PAIN MANAGEMENT,20552,0,1,rule,Pend EPL,0,0
PAIN MANAGEMENT,20552,1,1,DBA,,1,0.67
PODIATRY,20552,1,1,rule,low volume,0,0
RHEUMATOLOGY,20552,0,1,rule,Pend EPL,0,0
RHEUMATOLOGY,20552,1,1,clinical,guideline req,0,0
SURGERY - HAND,20552,0,1,rule,Pend EPL,0,0
SURGERY - HAND,20552,1,1,rule,Hard Pend Specialty,0,
SURGERY - MAXILLOFACIAL ORAL,20552,0,1,rule,Pend EPL,0,0
SURGERY - NEURO,20552,1,1,rule,low volume,0,0
SURGERY - ORTHO,20552,0,1,rule,Pend EPL,0,0
SURGERY - ORTHO,20552,1,1,rule,low volume,0,0
ACUPUNCTURE,20610,1,1,rule,Hard Pend Specialty,0,
AMBULATORY SURGICAL CENTER,20610,0,0,rule,Pend EPL,0,0
AMBULATORY SURGICAL CENTER,20610,1,0,rule,Hard Pend Specialty,0,0
ANESTHESIOLOGY,20610,0,1,rule,Pend EPL,0,0
AUDIOLOGY,20610,1,1,rule,low volume,0,
EMERGENCY SERVICES,20610,1,1,rule,low volume,0,
ENDOCRINOLOGY,20610,1,1,rule,low volume,0,
FACILITY SERVICES,20610,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,20610,1,1,rule,Hard Pend Specialty,0,0
FAMILY PRACTICE,20610,0,1,rule,Pend EPL,0,
FAMILY PRACTICE,20610,1,1,rule,low volume,0,0
GENERAL PRACTICE,20610,0,1,rule,Pend EPL,0,
GENERAL PRACTICE,20610,1,1,rule,low volume,0,0
INTERNAL MEDICINE,20610,0,1,rule,Pend EPL,0,
INTERNAL MEDICINE,20610,1,0,DBA,,0,0
INTERVENTIONAL RADIOLOGY,20610,0,1,rule,Pend EPL,0,
INTERVENTIONAL RADIOLOGY,20610,1,1,rule,low volume,0,0
NURSE PRACTITIONER,20610,1,1,rule,Hard Pend Specialty,0,
ORTHOTICS AND PROSTHETICS,20610,0,1,rule,Pend EPL,0,0
PAIN MANAGEMENT,20610,0,1,rule,Pend EPL,0,0
PAIN MANAGEMENT,20610,1,1,DBA,,1,0.94
PHARMACY,20610,0,0,rule,Pend EPL,0,
PHARMACY,20610,1,0,rule,Hard Pend Specialty,0,0
PHYSIATRY,20610,0,1,rule,Pend EPL,0,
PHYSICIAN ASSISTANT,20610,0,1,rule,Pend EPL,0,
RADIOLOGY_b,20610,0,1,rule,Pend EPL,0,0
RADIOLOGY_b,20610,1,1,DBA,,1,0.3
RADIOLOGY_s,20610,0,1,rule,Pend EPL,0,0
RADIOLOGY_s,20610,1,1,DBA,,1,0.45
RHEUMATOLOGY,20610,0,1,rule,Pend EPL,0,0
RHEUMATOLOGY,20610,1,1,DBA,,1,0.24
SURGERY - GENERAL,20610,0,1,rule,Pend EPL,0,
SURGERY - GENERAL,20610,1,1,rule,low volume,0,
SURGERY - HAND,20610,0,1,rule,Pend EPL,0,0
SURGERY - HAND,20610,1,1,rule,Hard Pend Specialty,0,
